<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,20180605,000000,840.2000000,851.4000000,836.7000000,847.1000000,911.110
NVTK,D,20180606,000000,846.1000000,854.5000000,844.3000000,844.4000000,662.580
NVTK,D,20180607,000000,850.3000000,850.7000000,842.2000000,848.0000000,506.840
NVTK,D,20180608,000000,845.3000000,848.4000000,821.1000000,824.2000000,1.043.590
NVTK,D,20180609,000000,828.5000000,833.4000000,825.6000000,827.1000000,69.030
NVTK,D,20180611,000000,827.6000000,834.9000000,821.2000000,828.2000000,370.150
NVTK,D,20180613,000000,832.9000000,835.0000000,812.7000000,824.0000000,677.420
NVTK,D,20180614,000000,821.1000000,822.0000000,800.0000000,813.8000000,923.610
NVTK,D,20180615,000000,814.8000000,819.7000000,796.4000000,804.0000000,1.830.410
NVTK,D,20180618,000000,802.1000000,811.5000000,790.2000000,799.5000000,923.320
NVTK,D,20180619,000000,795.0000000,811.0000000,787.1000000,805.0000000,1.012.560
NVTK,D,20180620,000000,808.0000000,847.7000000,800.7000000,847.0000000,1.337.240
NVTK,D,20180621,000000,845.0000000,850.0000000,830.6000000,832.3000000,939.290
NVTK,D,20180622,000000,837.0000000,842.5000000,821.5000000,827.8000000,864.680
NVTK,D,20180625,000000,831.6000000,835.7000000,823.5000000,829.1000000,407.470
NVTK,D,20180626,000000,830.0000000,836.0000000,827.3000000,833.3000000,251.560
NVTK,D,20180627,000000,836.0000000,851.0000000,831.0000000,840.9000000,598.040
NVTK,D,20180628,000000,844.0000000,849.7000000,839.0000000,845.0000000,609.360
NVTK,D,20180629,000000,848.0000000,865.2000000,845.3000000,852.8000000,1.246.730
NVTK,D,20180702,000000,854.4000000,882.2000000,848.1000000,879.3000000,1.149.100
NVTK,D,20180703,000000,876.7000000,879.9000000,866.9000000,879.9000000,552.410
NVTK,D,20180704,000000,876.0000000,880.8000000,872.9000000,874.7000000,296.300
NVTK,D,20180705,000000,875.0000000,903.7000000,872.6000000,903.7000000,959.700
NVTK,D,20180706,000000,903.1000000,911.4000000,890.4000000,907.2000000,708.840
NVTK,D,20180709,000000,907.2000000,920.5000000,901.3000000,906.2000000,681.880
NVTK,D,20180710,000000,909.9000000,923.0000000,895.1000000,901.3000000,1.028.590
NVTK,D,20180711,000000,900.0000000,913.8000000,892.2000000,909.8000000,975.640
NVTK,D,20180712,000000,905.0000000,907.1000000,881.5000000,891.8000000,1.017.210
NVTK,D,20180713,000000,891.8000000,901.8000000,882.8000000,897.2000000,523.750
NVTK,D,20180716,000000,897.2000000,900.4000000,889.2000000,898.0000000,758.610
NVTK,D,20180717,000000,892.0000000,895.7000000,882.4000000,886.0000000,1.059.210
NVTK,D,20180718,000000,886.9000000,897.7000000,884.5000000,893.0000000,693.590
NVTK,D,20180719,000000,896.1000000,901.7000000,880.5000000,890.8000000,847.790
NVTK,D,20180720,000000,890.9000000,894.9000000,875.0000000,881.6000000,945.300
NVTK,D,20180723,000000,883.0000000,883.0000000,866.5000000,871.0000000,955.300
NVTK,D,20180724,000000,868.2000000,875.0000000,865.0000000,875.0000000,754.800
NVTK,D,20180725,000000,870.7000000,898.5000000,868.0000000,895.7000000,883.720
NVTK,D,20180726,000000,896.5000000,920.9000000,896.5000000,914.5000000,1.308.980
