<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20180727,000000,138.4000000,138.7000000,137.1300000,137.9900000,9.466.230
GAZP,D,20180730,000000,137.5800000,138.9000000,137.1200000,138.9000000,13.182.880
GAZP,D,20180731,000000,138.7100000,143.7900000,138.4600000,143.7900000,31.491.250
GAZP,D,20180801,000000,143.0000000,143.3100000,141.4800000,142.1400000,18.193.480
GAZP,D,20180802,000000,141.7500000,142.8900000,139.7600000,140.3600000,12.663.990
GAZP,D,20180803,000000,140.2000000,142.3900000,139.5000000,142.3900000,21.843.850
GAZP,D,20180806,000000,142.4300000,142.5800000,140.3200000,141.3400000,15.233.700
GAZP,D,20180807,000000,141.3500000,143.0400000,140.9500000,142.7400000,14.033.950
GAZP,D,20180808,000000,142.7100000,144.1900000,142.2000000,144.1000000,26.994.160
GAZP,D,20180809,000000,143.4000000,145.4600000,143.2600000,145.2000000,29.174.620
GAZP,D,20180810,000000,144.6800000,146.2000000,144.0100000,144.8000000,27.191.130
GAZP,D,20180813,000000,143.9000000,145.1500000,142.5400000,142.9000000,22.775.280
GAZP,D,20180814,000000,143.4900000,143.4900000,139.8500000,141.2400000,22.362.070
GAZP,D,20180815,000000,141.0200000,141.6800000,139.5000000,141.5000000,20.921.490
GAZP,D,20180816,000000,141.4600000,142.0900000,139.9500000,140.8800000,14.303.090
GAZP,D,20180817,000000,140.8700000,141.7600000,140.0300000,141.0100000,15.071.490
GAZP,D,20180820,000000,141.9700000,142.2200000,140.6100000,141.5100000,8.200.340
GAZP,D,20180821,000000,141.5700000,143.4900000,140.1200000,143.3000000,13.668.300
GAZP,D,20180822,000000,143.5000000,144.4100000,142.3000000,144.1600000,16.220.450
GAZP,D,20180823,000000,143.8100000,145.0000000,141.5000000,141.5000000,21.388.560
GAZP,D,20180824,000000,141.7000000,143.9800000,141.5000000,143.6000000,18.991.800
GAZP,D,20180827,000000,143.5100000,144.5200000,143.2500000,144.5200000,12.761.820
GAZP,D,20180828,000000,144.5700000,146.7300000,144.5700000,145.6000000,19.605.540
GAZP,D,20180829,000000,145.7500000,147.8800000,145.4000000,147.8800000,19.138.360
GAZP,D,20180830,000000,147.8700000,148.3400000,145.6600000,145.9800000,17.196.900
GAZP,D,20180831,000000,145.7000000,150.2000000,144.7800000,149.9500000,32.950.200
