Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,57.650002,57.799999,57.299999,57.459998999999996,55.114937,20860300
2016-09-30,57.57,57.77,57.34,57.599998,55.249226,29910800
2016-10-31,60.16,60.419998,59.919998,59.919998,57.474541,26434700
2016-11-30,60.860001000000004,61.18,60.220001,60.259997999999996,58.191134999999996,34655400
2016-12-31,62.959998999999996,62.990002000000004,62.029999,62.139998999999996,60.006588,25579900
2017-01-31,64.860001,65.150002,64.260002,64.650002,62.430424,25270500
2017-02-28,64.08000200000001,64.199997,63.759997999999996,63.98,62.157986,23239800
2017-03-31,65.650002,66.190002,65.449997,65.860001,63.98444,21040300
2017-04-30,68.910004,69.139999,67.690002,68.459999,66.51039899999999,39423500
2017-05-31,70.529999,70.739998,69.809998,69.839996,68.240021,30436400
2017-06-30,68.779999,69.379997,68.739998,68.93,67.350868,24161100
2017-07-31,73.300003,73.440002,72.410004,72.699997,71.0345,23600100
2017-08-31,74.029999,74.959999,73.800003,74.769997,73.446312,27652800
2017-09-30,73.940002,74.540001,73.879997,74.489998,73.171272,17079100
2017-10-31,84.360001,84.360001,83.110001,83.18,81.707436,27086600
2017-11-30,83.510002,84.519997,83.339996,84.16999799999999,83.095139,33054600
2017-12-31,85.629997,86.050003,85.5,85.540001,84.447639,18717400
2018-01-31,93.75,95.400002,93.510002,95.010002,93.796707,48756300
2018-02-28,94.839996,95.709999,93.629997,93.769997,93.007401,31167300
2018-03-31,90.18,92.290001,88.400002,91.269997,90.527733,45867500
2018-04-30,96.33000200000001,96.400002,93.150002,93.519997,92.75943000000001,41523600
2018-05-31,99.290001,99.989998,98.610001,98.839996,98.46109,34140900
2018-06-30,98.93,99.910004,98.33000200000001,98.610001,98.23197900000001,28053200
2018-07-31,107.190002,107.529999,104.760002,105.370003,104.96606399999999,34668300
