Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,87.139999,87.209999,86.220001,87.139999,80.70656600000001,12491400
2016-09-30,86.839996,87.809998,86.650002,87.279999,80.83622,15961500
2016-10-31,83.879997,84.400002,82.989998,83.32,77.168594,16663800
2016-11-30,87.599998,88.190002,87.199997,87.300003,81.570702,22696200
2016-12-31,90.029999,90.699997,90.010002,90.260002,84.33644100000001,9117800
2017-01-31,85.040001,85.07,83.129997,83.889999,78.384491,19128100
2017-02-28,81.529999,81.989998,81.050003,81.32,76.677963,16834200
2017-03-31,83.260002,83.309998,81.860001,82.010002,77.328583,21750400
2017-04-30,82.459999,82.489998,81.559998,81.650002,76.98912800000001,12072200
2017-05-31,80.940002,80.949997,80.470001,80.5,76.62155200000001,13572300
2017-06-30,81.08000200000001,81.239998,80.699997,80.730003,76.840477,14000600
2017-07-31,79.83000200000001,80.389999,79.599998,80.040001,76.183723,12820200
2017-08-31,76.269997,76.489998,76.050003,76.33000200000001,73.356667,15641700
2017-09-30,81.940002,82.059998,81.58000200000001,81.980003,78.786591,9944000
2017-10-31,83.650002,83.68,83.16999799999999,83.349998,80.103218,9754200
2017-11-30,82.449997,83.400002,82.410004,83.290001,80.786354,18592700
2017-12-31,84.0,84.199997,83.639999,83.639999,81.125839,8463500
2018-01-31,86.559998,87.470001,86.33000200000001,87.300003,84.67581899999999,14404700
2018-02-28,78.160004,78.25,75.699997,75.739998,74.214523,17087800
2018-03-31,73.33000200000001,74.889999,73.260002,74.610001,73.107285,14882900
2018-04-30,77.910004,78.559998,77.739998,77.75,76.18403599999999,15028800
2018-05-31,80.809998,81.550003,80.690002,81.239998,80.410606,15803100
2018-06-30,82.449997,83.540001,82.290001,82.730003,81.88539899999999,17323200
2018-07-31,82.129997,82.129997,80.709999,81.739998,80.905502,11282800
